START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE
2016-12-25 21:58,2016-12-25 22:04,Business,Lahore,Lahore,2.3,Meal/Entertain
2016-12-26 8:30,2016-12-26 8:41,Business,Lahore,Lahore,3.2,Meal/Entertain
2016-12-26 9:05,2016-12-26 9:19,Business,Lahore,Lahore,6.2,Customer Visit
2016-12-26 10:15,2016-12-26 10:36,Business,Lahore,Lahore,7.7,Customer Visit
2016-12-26 11:29,2016-12-26 11:42,Business,Lahore,Lahore,3.8,Customer Visit
2016-12-26 13:09,2016-12-26 13:43,Business,Lahore,Unknown Location,7.9,Meeting
2016-12-27 7:02,2016-12-27 7:14,Business,Kar?chi,Kar?chi,4.9,Temporary Site
2016-12-27 8:37,2016-12-27 8:59,Business,Kar?chi,Kar?chi,5,Meal/Entertain
2016-12-27 12:53,2016-12-27 12:57,Business,Kar?chi,Kar?chi,0.6,Meal/Entertain
2016-12-27 14:49,2016-12-27 15:03,Business,Kar?chi,Unknown Location,3.1,Customer Visit
2016-12-27 16:34,2016-12-27 16:58,Business,Unknown Location,Kar?chi,7.9,Meeting
2016-12-27 19:19,2016-12-27 19:50,Business,Kar?chi,Kar?chi,5.5,Customer Visit
2016-12-28 8:34,2016-12-28 9:06,Business,Kar?chi,Unknown Location,10.3,Meal/Entertain
2016-12-28 11:42,2016-12-28 12:12,Business,Unknown Location,Kar?chi,10.4,Errand/Supplies
2016-12-28 13:53,2016-12-28 14:01,Business,Kar?chi,Kar?chi,2,Errand/Supplies
2016-12-28 15:04,2016-12-28 15:39,Business,Kar?chi,Unknown Location,8.5,Meal/Entertain
2016-12-28 17:02,2016-12-28 17:16,Business,Unknown Location,Kar?chi,4.4,Errand/Supplies
2016-12-28 18:33,2016-12-28 18:56,Business,Kar?chi,Kar?chi,3.8,Errand/Supplies
2016-12-28 22:44,2016-12-28 23:18,Business,Kar?chi,Kar?chi,5.1,Errand/Supplies
2016-12-29 0:49,2016-12-29 1:06,Business,Kar?chi,Kar?chi,3.8,Errand/Supplies
2016-12-29 9:44,2016-12-29 10:07,Business,Kar?chi,Unknown Location,11.6,Meal/Entertain
2016-12-29 11:28,2016-12-29 12:00,Business,Unknown Location,Kar?chi,11.9,Meal/Entertain
2016-12-29 12:25,2016-12-29 12:33,Business,Kar?chi,Kar?chi,1.4,Errand/Supplies
2016-12-29 13:17,2016-12-29 13:24,Business,Kar?chi,Kar?chi,1.1,Errand/Supplies
2016-12-29 13:56,2016-12-29 14:11,Business,Kar?chi,Kar?chi,4.1,Airport/Travel
2016-12-29 14:42,2016-12-29 14:58,Business,Kar?chi,Kar?chi,6.1,Between Offices
